geneID	UnTrt_1	UnTrt_2	UnTrt_3	EtOH6H_1	EtOH6H_2	EtOH6H_3	ET24H_1	ET24H_2	ET24H_3
ENSMUSG00000001870	3169	3963	3393	2216	2330	2941	2620	2545	2728
ENSMUSG00000001891	948	1102	863	1780	1922	2214	2303	2090	2047
ENSMUSG00000001901	0	0	0	0	0	0	0	0	0
ENSMUSG00000001909	1084	1366	1121	1015	1041	1309	1100	1176	1190
ENSMUSG00000001910	3624	3822	3596	2288	2596	2935	2638	2788	2862
ENSMUSG00000001911	8108	7316	7960	4494	4689	6102	5981	6134	6216
ENSMUSG00000001918	287	392	297	323	359	434	352	365	368
ENSMUSG00000001924	10965	11488	10725	10436	11348	13732	12913	13252	13375
ENSMUSG00000001930	17	7	16	6	11	11	6	7	3
ENSMUSG00000001942	58	44	69	31	36	35	27	32	34
ENSMUSG00000001943	0	0	0	0	0	0	0	0	0
ENSMUSG00000001946	3	1	3	2	4	0	1	4	1
ENSMUSG00000001948	13	11	7	12	5	3	4	14	12
ENSMUSG00000001962	853	874	748	867	903	1277	1068	1138	1077
ENSMUSG00000001964	903	1163	922	1435	1494	1926	1600	1751	1631
ENSMUSG00000001983	188	178	170	151	152	172	175	175	184
ENSMUSG00000001985	1	0	0	0	0	0	0	0	0
ENSMUSG00000001986	1	1	0	1	4	0	3	3	0
ENSMUSG00000001988	12	18	30	4	7	7	8	7	7
ENSMUSG00000001995	624	680	531	1560	1607	1964	1847	1981	2038
ENSMUSG00000001998	474	440	434	494	512	604	586	547	549
ENSMUSG00000001999	268	264	231	172	231	297	199	207	211
ENSMUSG00000002006	74	61	58	67	48	79	46	63	75
ENSMUSG00000002007	133	91	117	222	276	296	342	360	363
ENSMUSG00000002010	1695	1889	1682	1938	2136	2841	2511	2544	2443
ENSMUSG00000002012	0	0	0	0	0	0	0	0	0
ENSMUSG00000002014	1653	1989	1592	1439	1536	1857	1842	1937	1921
ENSMUSG00000002015	2151	2372	2128	2439	2635	2944	2980	3062	2984
ENSMUSG00000002017	1352	1406	1266	1317	1295	1697	1575	1664	1550
ENSMUSG00000002020	1446	1560	1484	1882	2098	2359	2695	2960	3023
ENSMUSG00000002028	2294	2070	2370	2238	2476	2938	2415	2430	2424
ENSMUSG00000002031	574	740	622	576	671	847	625	650	647
ENSMUSG00000002032	7	9	6	6	3	4	5	3	3
ENSMUSG00000002033	0	3	0	5	0	6	8	3	9
ENSMUSG00000002043	247	371	272	267	282	292	243	274	296
ENSMUSG00000002052	3506	3540	3338	3274	3637	4444	3943	4197	4179
ENSMUSG00000002055	165	540	196	248	237	223	308	412	367
ENSMUSG00000002057	6	7	7	8	8	3	14	11	5
ENSMUSG00000002058	315	335	259	357	357	407	325	358	377
ENSMUSG00000002059	1976	2022	1935	1217	1354	1637	1441	1552	1559
ENSMUSG00000002064	946	1071	1012	1103	1302	1579	1297	1305	1360
ENSMUSG00000002068	139	89	95	69	76	100	84	94	94
ENSMUSG00000002076	61	43	41	62	77	94	51	98	87
ENSMUSG00000002083	168	212	179	367	455	540	462	487	512
